Country,Freedom,GDP per Capita,Generosity,Healthy life expectancy,Perceptions of corruption,Score,Social support,Year
georgia,0.346,0.886,0.043,0.752,0.164,4.519,0.666,2019
gambia,0.382,0.308,0.269,0.428,0.167,4.516,0.939,2019
kenya,0.431,0.512,0.372,0.581,0.053,4.509,0.983,2019
mauritania,0.066,0.57,0.106,0.489,0.088,4.49,1.167,2019
mozambique,0.494,0.204,0.197,0.39,0.138,4.466,0.986,2019
tunisia,0.167,0.921,0.059,0.815,0.055,4.461,1.0,2019
bangladesh,0.527,0.562,0.166,0.723,0.143,4.456,0.928,2019
iraq,0.241,1.043,0.148,0.574,0.089,4.437,0.98,2019
congo (kinshasa),0.269,0.094,0.212,0.357,0.053,4.418,1.125,2019
mali,0.327,0.385,0.153,0.308,0.052,4.39,1.105,2019
sierra leone,0.309,0.268,0.252,0.242,0.045,4.374,0.841,2019
sri lanka,0.47,0.949,0.244,0.831,0.047,4.366,1.265,2019
myanmar,0.525,0.71,0.566,0.555,0.172,4.36,1.181,2019
chad,0.174,0.35,0.198,0.192,0.078,4.35,0.766,2019
ukraine,0.178,0.82,0.187,0.739,0.01,4.332,1.39,2019
ethiopia,0.344,0.336,0.209,0.532,0.1,4.286,1.033,2019
eswatini,0.313,0.811,0.074,0.0,0.135,4.212,1.149,2019
uganda,0.356,0.332,0.252,0.443,0.06,4.189,1.069,2019
egypt,0.241,0.913,0.076,0.644,0.067,4.166,1.039,2019
zambia,0.431,0.578,0.247,0.426,0.087,4.107,1.058,2019
togo,0.293,0.275,0.177,0.41,0.085,4.085,0.572,2019
india,0.498,0.755,0.2,0.588,0.085,4.015,0.765,2019
liberia,0.37,0.073,0.233,0.443,0.033,3.975,0.922,2019
comoros,0.142,0.274,0.275,0.505,0.078,3.973,0.757,2019
madagascar,0.148,0.274,0.169,0.555,0.041,3.933,0.916,2019
lesotho,0.359,0.489,0.107,0.168,0.093,3.802,1.169,2019
burundi,0.22,0.046,0.176,0.38,0.18,3.775,0.447,2019
zimbabwe,0.361,0.366,0.151,0.433,0.089,3.663,1.114,2019
haiti,0.026,0.323,0.419,0.449,0.11,3.597,0.688,2019
botswana,0.455,1.041,0.025,0.538,0.1,3.488,1.145,2019
syria,0.013,0.619,0.331,0.44,0.141,3.462,0.378,2019
malawi,0.443,0.191,0.218,0.495,0.089,3.41,0.56,2019
yemen,0.143,0.287,0.108,0.463,0.077,3.38,1.163,2019
rwanda,0.555,0.359,0.217,0.614,0.411,3.334,0.711,2019
tanzania,0.417,0.476,0.276,0.499,0.147,3.231,0.885,2019
afghanistan,0.0,0.35,0.158,0.361,0.025,3.203,0.517,2019
central african republic,0.225,0.026,0.235,0.105,0.035,3.083,0.0,2019
south sudan,0.01,0.306,0.202,0.295,0.091,2.853,0.575,2019
